datetime;seconds;action;model;item_type;id;sender_user;sender_agent;sender_id;document;portal;container;x;y;rotation;scale;text;value;
"2019-10-01T13:27:40.775Z";"8546.314";"update";"items.Transform";;"d307a090-c190-4417-a5b7-1d21a5cb113d";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"9cbaadd0-80f8-4fa6-9b45-9f958c95b192";;;;"895.2";"552.3";"-6";"0.8";;;
"2019-10-01T13:27:42.575Z";"8548.114";"update";"items.Transform";;"ce0c9df3-ecec-467e-b597-c89b871c6e43";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"9cbaadd0-80f8-4fa6-9b45-9f958c95b192";;;;"527.0";"573.1";"0";"3.3";;;
"2019-10-01T13:27:45.280Z";"8550.819";"update";"items.Color";;"ce0c9df3-ecec-467e-b597-c89b871c6e43";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"9cbaadd0-80f8-4fa6-9b45-9f958c95b192";;;;;;;;;"#FF76DCFF";
"2019-10-01T13:27:49.163Z";"8554.702";"update";"items.Transform";;"909fefd1-b43a-43f1-99c5-a6ed8b114149";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"9cbaadd0-80f8-4fa6-9b45-9f958c95b192";;;;"1508.1";"533.6";"0";"1.0";;;
"2019-10-01T13:27:51.134Z";"8556.673";"update";"items.Transform";;"5326ee09-2083-445d-9121-f4e0418c79ab";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"9cbaadd0-80f8-4fa6-9b45-9f958c95b192";;;;"737.0";"1074.5";"0";"1.0";;;
"2019-10-01T13:27:53.894Z";"8559.433";"update";"items.Color";;"5326ee09-2083-445d-9121-f4e0418c79ab";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"9cbaadd0-80f8-4fa6-9b45-9f958c95b192";;;;;;;;;"#FFFC5BAC";
"2019-10-01T13:27:54.724Z";"8560.263";"update";"items.Transform";;"53075529-c40d-44e1-8e6c-42af44e7c0b3";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"9cbaadd0-80f8-4fa6-9b45-9f958c95b192";;;;"527.0";"1211.1";"0";"1.0";;;
"2019-10-01T13:27:56.364Z";"8561.903";"update";"items.Color";;"53075529-c40d-44e1-8e6c-42af44e7c0b3";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"9cbaadd0-80f8-4fa6-9b45-9f958c95b192";;;;;;;;;"#FFFC5BAC";
"2019-10-01T13:27:57.027Z";"8562.566";"update";"items.Transform";;"c504558a-e680-44bf-96a4-17764293e7f8";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"9cbaadd0-80f8-4fa6-9b45-9f958c95b192";;;;"535.3";"1372.4";"0";"1.0";;;
"2019-10-01T13:27:58.357Z";"8563.896";"update";"items.Color";;"c504558a-e680-44bf-96a4-17764293e7f8";"auvinali";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA05)";"9cbaadd0-80f8-4fa6-9b45-9f958c95b192";;;;;;;;;"#FFFC5BAC";
