Time,Collaboration,Cooperation,Coordination,Communication,Travail individuel,Teacher Intervention,Neutral/setup,Technical Issue,Off topic,seance
2220.0,1,0,0,1,0,0,0,0,0,Seance_2_FAST_Valise
2250.0,0,1,0,0,1,0,0,0,0,Seance_2_FAST_Valise
2280.0,0,1,0,0,0,0,0,0,0,Seance_2_FAST_Valise
2310.0,1,0,0,0,0,0,0,0,0,Seance_2_FAST_Valise
2340.0,0,0,0,1,0,0,0,1,0,Seance_2_FAST_Valise
2370.0,0,1,0,0,1,0,0,0,0,Seance_2_FAST_Valise
2400.0,1,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
2430.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
2460.0,0,1,0,1,1,0,0,0,0,Seance_2_FAST_Valise
2490.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
2520.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
2550.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
2580.0,0,0,0,1,0,0,0,0,0,Seance_2_FAST_Valise
2610.0,0,0,0,1,0,1,0,0,0,Seance_2_FAST_Valise
2640.0,0,0,0,0,1,1,0,0,0,Seance_2_FAST_Valise
2670.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
2700.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
2730.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
2760.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
2790.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
2820.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
2850.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
2880.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
2910.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
2940.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
2970.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
3000.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
3030.0,0,0,0,0,0,1,0,0,0,Seance_2_FAST_Valise
3060.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
3090.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
3120.0,0,1,0,1,0,0,0,0,0,Seance_2_FAST_Valise
3150.0,0,0,0,1,0,0,0,0,0,Seance_2_FAST_Valise
3180.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
3210.0,1,0,0,0,0,0,0,0,0,Seance_2_FAST_Valise
3240.0,0,0,0,1,0,0,0,0,0,Seance_2_FAST_Valise
3270.0,1,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
3300.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
3330.0,0,1,0,0,1,0,0,0,0,Seance_2_FAST_Valise
3360.0,0,0,0,1,0,0,0,0,0,Seance_2_FAST_Valise
3390.0,0,0,0,0,0,0,0,1,0,Seance_2_FAST_Valise
3420.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
3450.0,1,1,0,0,0,0,0,0,0,Seance_2_FAST_Valise
3480.0,1,0,0,1,0,0,0,0,0,Seance_2_FAST_Valise
3510.0,0,1,0,1,0,0,0,0,0,Seance_2_FAST_Valise
3540.0,0,0,0,0,1,0,0,0,0,Seance_2_FAST_Valise
3570.0,0,1,0,0,1,0,0,0,0,Seance_2_FAST_Valise
3600.0,1,0,0,0,1,0,0,0,0,Seance_2_FAST_Valise
3630.0,0,0,0,1,0,0,0,0,0,Seance_2_FAST_Valise
3660.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
3690.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
3720.0,0,1,0,1,0,0,0,0,0,Seance_2_FAST_Valise
3750.0,0,1,0,1,1,0,0,0,0,Seance_2_FAST_Valise
3780.0,1,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
3810.0,1,0,0,0,1,0,0,0,0,Seance_2_FAST_Valise
3840.0,0,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
3870.0,0,1,0,0,0,0,0,0,0,Seance_2_FAST_Valise
3900.0,1,0,0,1,1,0,0,0,0,Seance_2_FAST_Valise
3930.0,0,0,0,0,1,0,0,0,0,Seance_2_FAST_Valise
3960.0,0,0,0,1,0,0,0,0,0,Seance_2_FAST_Valise
0.0,0,0,0,0,0,0,1,0,0,Seance_3_AC_Grattoir
30.0,0,0,0,0,0,0,1,1,0,Seance_3_AC_Grattoir
60.0,0,0,0,0,1,0,1,0,0,Seance_3_AC_Grattoir
90.0,0,0,0,0,0,0,1,0,0,Seance_3_AC_Grattoir
120.0,0,0,1,0,1,1,0,0,0,Seance_3_AC_Grattoir
150.0,0,0,0,1,0,1,0,1,0,Seance_3_AC_Grattoir
180.0,0,0,0,0,1,1,0,1,0,Seance_3_AC_Grattoir
210.0,0,0,1,0,1,0,0,0,0,Seance_3_AC_Grattoir
240.0,1,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
270.0,1,0,1,1,0,0,0,0,0,Seance_3_AC_Grattoir
300.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
330.0,0,0,0,1,1,0,0,1,0,Seance_3_AC_Grattoir
360.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
390.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
420.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
450.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
480.0,1,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
510.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
540.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
570.0,1,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
600.0,1,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
630.0,1,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
660.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
690.0,0,0,0,0,1,1,0,0,0,Seance_3_AC_Grattoir
720.0,0,0,0,1,1,1,0,0,0,Seance_3_AC_Grattoir
750.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
780.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
810.0,1,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
840.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
870.0,1,1,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
900.0,0,1,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
930.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
960.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
990.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
1020.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
1050.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
1080.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
1110.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
