datetime;seconds;action;model;item_type;id;sender_user;sender_agent;sender_id;document;portal;container;x;y;rotation;scale;text;value;
"2019-10-08T13:11:28.492Z";"3321.311";"update";"items.Transform";;"d2f811c6-c057-46fd-aa83-afa88e296861";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"794.1";"410.7";"0";"1.0";;;
"2019-10-08T13:11:31.556Z";"3324.375";"update";"items.Transform";;"1c525046-71fb-481b-bd71-636a07175615";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"1168.7";"429.3";"0";"1.0";;;
"2019-10-08T13:12:04.757Z";"3357.576";"create";"items";"Postit";"29147110-06d6-4d89-9fd3-20e30664e5b8";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";"3cd2392d-3ff0-43af-885e-01e5d10f32a7";;"b4756395-5c81-4528-b55d-3ee5546f374a";"705.4";"517.0";"0";"1.0";"";;
"2019-10-08T13:12:11.919Z";"3364.738";"update";"items";"Postit";"1d781c12-752a-484c-8f78-3f209bead4c1";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";;;"2d27f093-4301-45a6-bdff-a5c72a46a878";;"405.5";"510.9";"0";"1.0";"nbjjjhhhhh";;
"2019-10-08T13:12:06.383Z";"3359.202";"create";"items";"Postit";"1d781c12-752a-484c-8f78-3f209bead4c1";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";"3cd2392d-3ff0-43af-885e-01e5d10f32a7";;"b4756395-5c81-4528-b55d-3ee5546f374a";"705.4";"581.0";"0";"1.0";"n";;
"2019-10-08T13:12:07.332Z";"3360.151";"update";"items.Transform";;"29147110-06d6-4d89-9fd3-20e30664e5b8";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"387.1";"297.9";"0";"1.0";;;
"2019-10-08T13:12:10.506Z";"3363.325";"update";"items.Transform";;"1d781c12-752a-484c-8f78-3f209bead4c1";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"405.5";"510.9";"0";"1.0";;;
"2019-10-08T13:12:13.404Z";"3366.223";"update";"items.Transform";;"29147110-06d6-4d89-9fd3-20e30664e5b8";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"387.1";"297.9";"0";"1.0";;;
"2019-10-08T13:12:18.473Z";"3371.292";"update";"items.Transform";;"f973e81e-e42f-4829-9bbe-b7cd9f65a09b";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"667.0";"505.7";"0";"3.6";;;
"2019-10-08T13:12:19.485Z";"3372.304";"update";"items.Transform";;"405e1283-637c-4606-a284-b2a1c74df571";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"971.3";"989.1";"0";"1.0";;;
"2019-10-08T13:12:20.506Z";"3373.325";"update";"items.Transform";;"c12d3e08-66ba-42f9-8890-b3f182e4d028";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"1370.1";"871.2";"0";"1.0";;;
"2019-10-08T13:12:21.518Z";"3374.337";"update";"items.Transform";;"f597da4e-0b92-4751-83ae-3a2310c31757";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"1450.3";"626.9";"0";"1.0";;;
"2019-10-08T13:12:22.032Z";"3374.851";"update";"items.Transform";;"1c525046-71fb-481b-bd71-636a07175615";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"1168.7";"429.3";"0";"1.0";;;
"2019-10-08T13:12:07.230Z";"3360.049";"update";"items.Text";;"1d781c12-752a-484c-8f78-3f209bead4c1";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;"nbjjjhhhhh";;
"2019-10-08T13:12:23.056Z";"3375.875";"update";"items.Transform";;"d2f811c6-c057-46fd-aa83-afa88e296861";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"794.1";"410.7";"0";"1.0";;;
"2019-10-08T13:12:23.527Z";"3376.346";"update";"items.Transform";;"63d875a3-bb81-41a0-8687-e382fe30b988";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"522.5";"614.7";"0";"1.0";;;
"2019-10-08T13:12:24.090Z";"3376.909";"update";"items.Transform";;"fb9037cc-528a-446b-9e60-967d660c5db0";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"606.3";"883.3";"0";"1.0";;;
"2019-10-08T13:13:02.064Z";"3414.883";"create";"items";"Postit";"39f87a9c-d334-478e-b657-eea03d4801f2";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";"3cd2392d-3ff0-43af-885e-01e5d10f32a7";;"b4756395-5c81-4528-b55d-3ee5546f374a";"1782.4";"1217.0";"0";"1.0";"";;
"2019-10-08T13:13:48.357Z";"3461.176";"update";"items.Color";;"39f87a9c-d334-478e-b657-eea03d4801f2";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;;"#FF76DCFF";
"2019-10-08T13:13:56.617Z";"3469.436";"update";"items.Transform";;"39f87a9c-d334-478e-b657-eea03d4801f2";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"1037.4";"203.0";"0";"1.0";;;
"2019-10-08T13:13:42.968Z";"3455.787";"update";"items.Text";;"39f87a9c-d334-478e-b657-eea03d4801f2";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;"20 pages = 50 g";;
"2019-10-08T13:14:05.609Z";"3478.428";"update";"items.Transform";;"f973e81e-e42f-4829-9bbe-b7cd9f65a09b";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"667.0";"505.7";"0";"3.6";;;
"2019-10-08T13:14:06.225Z";"3479.044";"update";"items.Transform";;"39f87a9c-d334-478e-b657-eea03d4801f2";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"422.6";"182.4";"0";"1.0";;;
"2019-10-08T13:14:10.672Z";"3483.491";"update";"items.Transform";;"29147110-06d6-4d89-9fd3-20e30664e5b8";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"551.7";"274.1";"0";"1.0";;;
"2019-10-08T13:14:19.562Z";"3492.381";"update";"items.Style";;"29147110-06d6-4d89-9fd3-20e30664e5b8";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;;"DiamondPostit";
"2019-10-08T13:14:19.563Z";"3492.382";"update";"items.Size";;"29147110-06d6-4d89-9fd3-20e30664e5b8";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;;"208,208";
"2019-10-08T13:14:22.233Z";"3495.052";"update";"items.Transform";;"29147110-06d6-4d89-9fd3-20e30664e5b8";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"553.2";"231.2";"0";"1.0";;;
"2019-10-08T13:14:26.233Z";"3499.052";"update";"items.Transform";;"f973e81e-e42f-4829-9bbe-b7cd9f65a09b";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"677.0";"503.6";"0";"3.6";;;
"2019-10-08T13:14:55.540Z";"3528.359";"update";"items.Transform";;"29147110-06d6-4d89-9fd3-20e30664e5b8";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"553.2";"231.2";"0";"1.0";;;
"2019-10-08T13:15:02.601Z";"3535.42";"update";"items.Transform";;"f973e81e-e42f-4829-9bbe-b7cd9f65a09b";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"657.3";"506.7";"0";"3.6";;;
"2019-10-08T13:15:04.577Z";"3537.396";"update";"items.Transform";;"fb9037cc-528a-446b-9e60-967d660c5db0";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"606.3";"883.3";"0";"1.0";;;
"2019-10-08T13:15:12.435Z";"3545.254";"update";"items.Transform";;"29147110-06d6-4d89-9fd3-20e30664e5b8";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"553.2";"231.2";"0";"1.0";;;
"2019-10-08T13:15:13.863Z";"3546.682";"update";"items.Color";;"29147110-06d6-4d89-9fd3-20e30664e5b8";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;;;;;;"#FFA6FF33";
"2019-10-08T13:15:19.267Z";"3552.086";"update";"items.Transform";;"d2f811c6-c057-46fd-aa83-afa88e296861";"mignotch";"UbikeyOfficeVertical/1.4.4 (HALLNUMSTA02)";"863a4d1b-37ff-43d6-b41b-58c754d45f79";;;;"794.1";"410.7";"0";"1.0";;;
